camera 10 5 5 0 0 0 0 1 0 
screen 90 2 5 20
model  0 2 0 3.5 3.5 2.5
path  184
-1.41 2.82 0.9199999999999999
-1.37 2.6500000000000004 0.96
-1.29 3.03 0.74
-1.54 3.08 0.5700000000000001
-1.59 2.94 0.8300000000000001
-1.29 3.03 0.74
-1.24 2.75 0.72
-1.23 2.4699999999999998 0.8699999999999999
-1.1 2.2800000000000002 0.71
-1.02 2.19 0.77
-1.11 2.02 0.8500000000000001
-1.09 1.6900000000000002 0.9099999999999999
-1.01 1.51 0.8599999999999999
-1.21 1.46 0.81
-1.09 1.6900000000000002 0.9099999999999999
-1.31 1.7199999999999998 0.8999999999999999
-1.56 1.6800000000000002 0.74
-1.52 1.79 0.79
-1.29 1.9900000000000002 0.8500000000000001
-1.1500000000000001 1.85 0.8999999999999999
-1.09 1.6900000000000002 0.9099999999999999
-0.95 1.73 0.8999999999999999
-0.98 1.9300000000000002 0.8799999999999999
-1.11 2.02 0.8500000000000001
-1.29 1.9900000000000002 0.8500000000000001
-1.33 2.2 0.76
-1.02 2.19 0.77
-0.98 1.9300000000000002 0.8799999999999999
-0.8400000000000001 1.73 0.8500000000000001
-0.76 1.6500000000000001 0.8699999999999999
-0.72 1.8199999999999998 0.8799999999999999
-0.8400000000000001 1.73 0.8500000000000001
-0.8 1.98 0.8400000000000001
-0.98 1.9300000000000002 0.8799999999999999
-0.8799999999999999 2.12 0.81
-0.71 2.25 0.7000000000000001
-0.8 1.98 0.8400000000000001
-0.72 1.8199999999999998 0.8799999999999999
-0.5800000000000001 1.81 0.8899999999999999
-0.38 1.7199999999999998 1.1400000000000001
-0.5 1.62 1.08
-0.42000000000000004 1.42 1.04
-0.35000000000000003 1.6 1.1400000000000001
-0.38 1.7199999999999998 1.1400000000000001
-0.19 1.83 1.1300000000000001
0.06 1.73 1.1400000000000001
0.05 1.56 1.1300000000000001
-0.04 1.37 1.1300000000000001
-0.18 1.21 1.11
-0.34 1.25 1.05
-0.54 1.29 0.76
-0.42000000000000004 1.42 1.04
-0.34 1.25 1.05
-0.35000000000000003 1.6 1.1400000000000001
-0.5 1.62 1.08
-0.5800000000000001 1.81 0.8899999999999999
-0.35000000000000003 1.8900000000000001 1.07
-0.38 1.7199999999999998 1.1400000000000001
-0.15 1.6400000000000001 1.1600000000000001
0.06 1.73 1.1400000000000001
0.16 1.56 1.12
0.05 1.56 1.1300000000000001
-0.15 1.6400000000000001 1.1600000000000001
-0.35000000000000003 1.6 1.1400000000000001
-0.25 1.36 1.08
-0.04 1.37 1.1300000000000001
0.25 1.32 1.07
0.39 1.3 0.98
0.41000000000000003 1.12 0.96
0.5700000000000001 0.97 0.73
0.67 0.97 0.63
0.8599999999999999 0.99 0.66
0.78 0.81 0.51
1.02 0.8899999999999999 0.36
1.1600000000000001 1.08 0.42999999999999994
1.1500000000000001 1.01 0.2
1.02 0.8899999999999999 0.36
0.67 0.7000000000000001 0.19
0.78 0.81 0.51
1.0 0.94 0.48
